# Mol_Title	ID	SMILES
ZINC00003015	DUD_ace_D_1	CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O
ZINC01885531	DUD_ace_D_239	CC(C)C(CP(=O)([O-])[O-])NC(=O)Cc1ccccc1
ZINC01890760	DUD_ace_D_240	CC(C)CN(CC(O)C(=O)[O-])C(=O)NC(Cc1ccccc1)C(=O)[O-]
ZINC01892777	DUD_ace_D_241	CN(C)c1ccc(CSCC(NC(=O)C[S-])C(=O)[O-])cc1
ZINC01905201	DUD_ace_D_242	CC(=O)NC(CSC(=O)c1ccccc1OC(C)=O)C(=O)[O-]
ZINC01922522	DUD_ace_D_243	CCSc1nnc(N)n1CC(=O)NCCc1ccccc1
ZINC02001463	DUD_ace_D_244	CP(=O)([O-])OC(Cc1ccccc1)C(=O)NCCC(=O)[O-]
ZINC02004560	DUD_ace_D_245	CCc1c(CC(N)=O)c2c(OCC(=O)[O-])cccn2c1Cc1ccccc1
ZINC02006393	DUD_ace_D_246	CCCCNC(=O)CCc1ccc(S(=O)(=O)[O-])o1
ZINC02012855	DUD_ace_D_247	CCCN(CCC)C(=O)CNc1c(C(=O)[O-])c[nH+]c2ccc(Cl)nc21
ZINC02020159	DUD_ace_D_248	CC(=O)NC(CSC1C=CC(Br)=CC1O)C(=O)[O-]
ZINC02023857	DUD_ace_D_249	O=C(CSS(=O)(=O)O)NCCc1c[nH]c2ccccc12
ZINC02023887	DUD_ace_D_250	COc1ccc2[nH]cc(CCNC(=O)CSS(=O)(=O)O)c2c1
ZINC02065563	DUD_ace_D_251	COCCCNC(=O)CNS(=O)(=O)c1ccc(Cl)cc1
ZINC02083419	DUD_ace_D_252	Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C)C(=O)[O-])CC2)cc1
ZINC02087529	DUD_ace_D_253	CCc1cc(=O)oc2cc(OCC(=O)NCCC(=O)[O-])ccc12
ZINC02091787	DUD_ace_D_254	O=C([O-])CCCNC(=O)N1CC2CC(C1)c1cccc(=O)n1C2
ZINC02094109	DUD_ace_D_255	CCCc1cc(=O)oc2cc(OCC(=O)NCCC(=O)[O-])ccc12
ZINC02095716	DUD_ace_D_256	O=C([O-])CCCCCNC(=O)N1CC2CC(C1)c1cccc(=O)n1C2
ZINC02096710	DUD_ace_D_257	COc1ccc2c(C)c(CCC(=O)NCCCC(=O)[O-])c(=O)oc2c1
ZINC02097069	DUD_ace_D_258	CSCCC(NC(=O)N1CC2CC(C1)c1cccc(=O)n1C2)C(=O)[O-]
ZINC02097176	DUD_ace_D_259	CSCCC(NC(=O)Nc1ccccc1C(=O)[O-])C(=O)[O-]
ZINC02097677	DUD_ace_D_260	O=C([O-])CCCNC(=O)COc1ccc2c3c(c(=O)oc2c1)CCC3
ZINC02097749	DUD_ace_D_261	CC(C)COc1ccc(C(=O)NCC(=O)NCC(=O)[O-])cc1
ZINC02097882	DUD_ace_D_262	COc1ccc2c(CC(=O)NCCCC(=O)[O-])cc(=O)oc2c1C
ZINC02097913	DUD_ace_D_263	CCCC(NC(=O)Cc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02097914	DUD_ace_D_264	CCCC(NC(=O)Cc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02098319	DUD_ace_D_265	CSCCC(NC(=O)Cc1c(C)c2ccc(O)c(C)c2oc1=O)C(=O)[O-]
ZINC02099240	DUD_ace_D_266	Cc1coc2cc3oc(=O)c(CCC(=O)NCCCC(=O)[O-])c(C)c3cc12
ZINC02099358	DUD_ace_D_267	CC(C)C(NC(=O)COc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)[O-]
ZINC02100696	DUD_ace_D_268	O=C([O-])CCCCCNC(=O)Nc1ccc2c(c1)OCO2
ZINC02100772	DUD_ace_D_269	Cc1c(C)c2ccc(OCC(=O)NCCCC(=O)[O-])cc2oc1=O
ZINC02102052	DUD_ace_D_270	COc1ccc2c(CC(=O)NC(Cc3ccccc3)C(=O)[O-])cc(=O)oc2c1
ZINC02102054	DUD_ace_D_271	Cc1coc2cc3oc(=O)c(CCC(=O)NC(C)C(=O)[O-])c(C)c3cc12
ZINC02102367	DUD_ace_D_272	CSCCC(NC(=O)Cc1c(C)c2ccc(O)cc2oc1=O)C(=O)[O-]
ZINC02102403	DUD_ace_D_273	COc1ccccc1CNC(=O)NC(CCSC)C(=O)[O-]
ZINC02102526	DUD_ace_D_274	COc1ccc2c(C)c(CCC(=O)N3CCCC3C(=O)[O-])c(=O)oc2c1
ZINC02103800	DUD_ace_D_275	COc1ccc2c(C)c(CCC(=O)NCCC(=O)[O-])c(=O)oc2c1
ZINC02103803	DUD_ace_D_276	COc1ccc2c(C)c(CC(=O)NC(CC(C)C)C(=O)[O-])c(=O)oc2c1
ZINC02104066	DUD_ace_D_277	COc1ccc2c(CC(=O)NCCCC(=O)[O-])cc(=O)oc2c1
ZINC02104661	DUD_ace_D_278	CCC(NC(=O)Cc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02104662	DUD_ace_D_279	CCC(NC(=O)Cc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02105158	DUD_ace_D_280	CCC(C)C(NC(=O)NCc1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02106371	DUD_ace_D_281	Cc1coc2cc3oc(=O)c(CCC(=O)NCCC(=O)[O-])c(C)c3cc12
ZINC02106384	DUD_ace_D_282	COc1ccc2c(C)c(CCC(=O)NC(C(=O)[O-])C(C)C)c(=O)oc2c1
ZINC02106626	DUD_ace_D_283	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02106758	DUD_ace_D_284	O=C([O-])CCNC(=O)COc1ccc2c(c1)oc(=O)c1c2CCCC1
ZINC02107059	DUD_ace_D_285	Cc1c2ccc(O)cc2oc(=O)c1CCC(=O)N1CCCCC1C(=O)[O-]
ZINC02107060	DUD_ace_D_286	Cc1c2ccc(O)cc2oc(=O)c1CCC(=O)N1CCCCC1C(=O)[O-]
ZINC02107135	DUD_ace_D_287	CSCCC(NC(=O)NC(C)c1ccccc1)C(=O)[O-]
ZINC02107137	DUD_ace_D_288	CSCCC(NC(=O)NC(C)c1ccccc1)C(=O)[O-]
ZINC02107798	DUD_ace_D_289	COc1ccc2c(C)c(CC(=O)NCCCC(=O)[O-])c(=O)oc2c1
ZINC02108295	DUD_ace_D_290	CSCCC(NC(=O)Nc1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02108678	DUD_ace_D_291	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CCC(=O)NC(C)C(=O)[O-]
ZINC02108680	DUD_ace_D_292	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CCC(=O)NC(C)C(=O)[O-]
ZINC02108761	DUD_ace_D_293	CSCC(NC(=O)Cc1c(C)c2ccc(O)cc2oc1=O)C(=O)[O-]
ZINC02110249	DUD_ace_D_294	CC1(C)CC(CCNC(=O)CCC(=O)[O-])(c2ccccc2)CCO1
ZINC02110251	DUD_ace_D_295	CC1(C)CC(CCNC(=O)CCC(=O)[O-])(c2ccccc2)CCO1
ZINC02111228	DUD_ace_D_296	CCC(C)C(NC(=O)CCc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02112647	DUD_ace_D_297	COc1ccc2c(C)c(CC(=O)NCCC(=O)[O-])c(=O)oc2c1OC
ZINC02112709	DUD_ace_D_298	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NC(CC(C)C)C(=O)[O-]
ZINC02112725	DUD_ace_D_299	CCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02112727	DUD_ace_D_300	CCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02112961	DUD_ace_D_301	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)N1CCCC1C(=O)[O-]
ZINC02113036	DUD_ace_D_302	CCC(NC(=O)CCc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02113038	DUD_ace_D_303	CCC(NC(=O)CCc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02113288	DUD_ace_D_304	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CCC(=O)NCCC(=O)[O-]
ZINC02113399	DUD_ace_D_305	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NCCCC(=O)[O-]
ZINC02113407	DUD_ace_D_306	COc1cc(OC)c2c(C)c(CC(=O)NCCC(=O)[O-])c(=O)oc2c1
ZINC02113931	DUD_ace_D_307	COc1ccc2c(C)c(CC(=O)NCC(=O)[O-])c(=O)oc2c1OC
ZINC02113982	DUD_ace_D_308	CSCC(NC(=O)COc1ccc2ccc(=O)oc2c1)C(=O)[O-]
ZINC02114508	DUD_ace_D_309	CCc1cc(=O)oc2cc(C)cc(OCC(=O)NC(CSC)C(=O)[O-])c12
ZINC02114515	DUD_ace_D_310	Cc1c(OCC(=O)NCCC(=O)[O-])ccc2c3ccccc3c(=O)oc12
ZINC02115624	DUD_ace_D_311	COc1cc(C)cc2oc(=O)c(CC(=O)NCC(=O)[O-])c(C)c12
ZINC02116766	DUD_ace_D_312	CCc1cc(=O)oc2cc(OCC(=O)N3CCCC3C(=O)[O-])ccc12
ZINC02116933	DUD_ace_D_313	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NCCC(=O)[O-]
ZINC02116961	DUD_ace_D_314	CC(Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)NCC(=O)[O-]
ZINC02116962	DUD_ace_D_315	CC(Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)NCC(=O)[O-]
ZINC02117351	DUD_ace_D_316	COc1cc2oc(=O)c(CC(=O)NCCCC(=O)[O-])c(C)c2cc1Cl
ZINC02117586	DUD_ace_D_317	CCC(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)[O-]
ZINC02117590	DUD_ace_D_318	CCC(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)[O-]
ZINC02117638	DUD_ace_D_319	COc1cc2oc(=O)c(CC(=O)NCC(=O)[O-])c(C)c2cc1Cl
ZINC02117658	DUD_ace_D_320	CC(C)C(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)[O-]
ZINC02118024	DUD_ace_D_321	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NC(C)C(=O)[O-]
ZINC02118087	DUD_ace_D_322	COc1cc2oc(=O)c(CC(=O)NC(C)C(=O)[O-])c(C)c2cc1Cl
ZINC02118150	DUD_ace_D_323	CC(NC(=O)C(C)Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)[O-]
ZINC02118151	DUD_ace_D_324	CC(NC(=O)C(C)Oc1ccc2c3c(c(=O)oc2c1)CCC3)C(=O)[O-]
ZINC02118638	DUD_ace_D_325	CCCCc1cc(=O)oc2cc(OCC(=O)NCC(=O)[O-])ccc12
ZINC02118733	DUD_ace_D_326	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)N1CCC(C(=O)[O-])CC1
ZINC02118875	DUD_ace_D_327	Cc1c2cc3c(cc2oc(=O)c1CC(=O)NCC(=O)[O-])occ3C(C)(C)C
ZINC02120003	DUD_ace_D_328	CCCC(NC(=O)CCc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02120005	DUD_ace_D_329	CCCC(NC(=O)CCc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02120036	DUD_ace_D_330	CSCC(NC(=O)Cc1c(C)c2cc3c(C)coc3cc2oc1=O)C(=O)[O-]
ZINC02120425	DUD_ace_D_331	CC(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)[O-]
ZINC02120847	DUD_ace_D_332	COc1cc2oc(=O)c(CC(=O)NCCC(=O)[O-])c(C)c2cc1Cl
ZINC02120903	DUD_ace_D_333	COc1ccc2c(C)c(CC(=O)NC(CSC)C(=O)[O-])c(=O)oc2c1
ZINC02120918	DUD_ace_D_334	CCC(NC(=O)Cc1c(C)c2cc(Cl)c(OC)cc2oc1=O)C(=O)[O-]
ZINC02120920	DUD_ace_D_335	CCC(NC(=O)Cc1c(C)c2cc(Cl)c(OC)cc2oc1=O)C(=O)[O-]
ZINC02121917	DUD_ace_D_336	CSCC(NC(=O)Cc1c(C)c2ccc(O)c(C)c2oc1=O)C(=O)[O-]
ZINC02122472	DUD_ace_D_337	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CCC(=O)NC(C(=O)[O-])C(C)C
ZINC02122668	DUD_ace_D_338	O=C(COc1ccc2ccc(=O)oc2c1)NCC1CCC(C(=O)[O-])CC1
ZINC02122993	DUD_ace_D_339	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NCC(=O)[O-]
ZINC02123097	DUD_ace_D_340	COc1cc2oc(=O)c(CC(=O)NCC(=O)[O-])c(C)c2cc1OC
ZINC02123443	DUD_ace_D_341	CCCC(NC(=O)Cc1c(C)c2cc(Cl)c(OC)cc2oc1=O)C(=O)[O-]
ZINC02123445	DUD_ace_D_342	CCCC(NC(=O)Cc1c(C)c2cc(Cl)c(OC)cc2oc1=O)C(=O)[O-]
ZINC02123623	DUD_ace_D_343	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CC(=O)NC(C(=O)[O-])C(C)C
ZINC02123729	DUD_ace_D_344	CCCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02123730	DUD_ace_D_345	CCCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02123873	DUD_ace_D_346	CSCC(NC(=O)COc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)[O-]
ZINC02124195	DUD_ace_D_347	CSCCC(NC(=O)COc1ccc2ccc(=O)oc2c1)C(=O)[O-]
ZINC02124477	DUD_ace_D_348	O=C([O-])CNC(=O)COc1ccc2c3c(c(=O)oc2c1)CCC3
ZINC02125144	DUD_ace_D_349	CSCC(NC(=O)Cc1c(C)c2cc(Cl)c(O)cc2oc1=O)C(=O)[O-]
ZINC02125236	DUD_ace_D_350	CCC(NC(=O)COc1ccc2c3ccccc3c(=O)oc2c1C)C(=O)[O-]
ZINC02125237	DUD_ace_D_351	CCC(NC(=O)COc1ccc2c3ccccc3c(=O)oc2c1C)C(=O)[O-]
ZINC02125338	DUD_ace_D_352	CCc1cc(=O)oc2cc(OCC(=O)NC(CSC)C(=O)[O-])ccc12
ZINC02125812	DUD_ace_D_353	COc1ccc2c(C)c(CCC(=O)NC(CSC)C(=O)[O-])c(=O)oc2c1
ZINC02125904	DUD_ace_D_354	Cc1c2cc(Cl)c(O)cc2oc(=O)c1CCC(=O)NCC(=O)[O-]
ZINC02126076	DUD_ace_D_355	CSCC(NC(=O)COc1cc(C)cc2oc(=O)cc(C)c12)C(=O)[O-]
ZINC02126668	DUD_ace_D_356	C=CCC1N(Cc2ccccc2)C(=O)C2C(C(=O)[O-])C3C=CC12O3
ZINC02126784	DUD_ace_D_357	CC(C)C(NC(=O)C(C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02126807	DUD_ace_D_358	CSCCC(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02126838	DUD_ace_D_359	CC(C)CC(NC(=O)C(C(C)C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02127112	DUD_ace_D_360	CC(C)CC(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02127171	DUD_ace_D_361	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02127173	DUD_ace_D_362	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02127183	DUD_ace_D_363	CSCCC(NC(=O)Cn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02127205	DUD_ace_D_364	CC(NC(=O)CCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02127268	DUD_ace_D_365	CC(C)CC(NC(=O)C(C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02127283	DUD_ace_D_366	CCC(C)C(NC(=O)C(C(C)C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02127475	DUD_ace_D_367	CC(NC(=O)CCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02127903	DUD_ace_D_368	CCC(C)C(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02127952	DUD_ace_D_369	CCC(C)C(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02127962	DUD_ace_D_370	CCN1C(=O)SC(=Cc2ccc(OCC(N)=O)c(OC)c2)C1=O
ZINC02128122	DUD_ace_D_371	CC(NC(=O)C(C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02128224	DUD_ace_D_372	CSCCC(NC(=O)CCCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02128362	DUD_ace_D_373	CC(NC(=O)CCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02128370	DUD_ace_D_374	CCC(C)C(C(=O)NCCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02128375	DUD_ace_D_375	CC(C(=O)NCCCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02128415	DUD_ace_D_376	CCCCC(C(=O)NC(C)C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02128416	DUD_ace_D_377	CCCCC(C(=O)NC(C)C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02128553	DUD_ace_D_378	CCC(C)C(C(=O)N1CCCC1C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02128692	DUD_ace_D_379	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02128694	DUD_ace_D_380	CCCCC(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02129089	DUD_ace_D_381	CSCCC(NC(=O)C(C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02129245	DUD_ace_D_382	CCC(C)C(NC(=O)Cn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02129275	DUD_ace_D_383	CCCCC(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02129278	DUD_ace_D_384	CCCCC(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02129741	DUD_ace_D_385	CC(C)C(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02129748	DUD_ace_D_386	CC(C)CC(NC(=O)CCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02129803	DUD_ace_D_387	CC(C(=O)NCCCCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02129839	DUD_ace_D_388	CC(C)C(NC(=O)CCCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02130017	DUD_ace_D_389	CC(C)CC(NC(=O)C(C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02130166	DUD_ace_D_390	CC(C)C(C(=O)NCCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02130211	DUD_ace_D_391	CCC(C)C(C(=O)NCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02130333	DUD_ace_D_392	CC(C)CC(C(=O)NC(C(=O)[O-])C(C)C)n1cnc2ccccc2c1=O
ZINC02130392	DUD_ace_D_393	CC(C)CC(NC(=O)CCCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02130427	DUD_ace_D_394	CSCCC(C(=O)N1CCCC1C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02130472	DUD_ace_D_395	CC(O)CNC(=O)NC(Cc1ccccc1)C(=O)[O-]
ZINC02130600	DUD_ace_D_396	CCC(C)C(NC(=O)Cc1c(C)c2ccc(OC)cc2oc1=O)C(=O)[O-]
ZINC02130619	DUD_ace_D_397	CSCCC(NC(=O)C(C(C)C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02130687	DUD_ace_D_398	CC(C)C(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02130707	DUD_ace_D_399	CC(C)C(NC(=O)Cn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02130731	DUD_ace_D_400	CC(C)CC(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02130907	DUD_ace_D_401	CSCCC(NC(=O)CCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02130980	DUD_ace_D_402	CSCCC(NC(=O)CCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131032	DUD_ace_D_403	CCC(C)C(C(=O)NC(C(=O)[O-])C(C)C)n1cnc2ccccc2c1=O
ZINC02131078	DUD_ace_D_404	CC(C)C(NC(=O)N1Cc2ccccc2CC1C(=O)[O-])C(=O)[O-]
ZINC02131319	DUD_ace_D_405	CSCCC(NC(=O)Cn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131365	DUD_ace_D_406	CC(C)C(C(=O)NCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02131402	DUD_ace_D_407	CCC(C)C(NC(=O)C(C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131417	DUD_ace_D_408	CC(C)C(NC(=O)CCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02131509	DUD_ace_D_409	CSCCC(NC(=O)C(C(C)C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131608	DUD_ace_D_410	CCC(C)C(NC(=O)C(C(C)C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02131678	DUD_ace_D_411	CC(C)C(NC(=O)C(C(C)C)n1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131708	DUD_ace_D_412	O=C([O-])C1CCCN1C(=O)CCCn1cnc2ccccc2c1=O
ZINC02131740	DUD_ace_D_413	CCCCC(C(=O)NC(C(=O)[O-])C(C)C)n1c(=O)[nH]c2ccccc2c1=O
ZINC02131742	DUD_ace_D_414	CCCCC(C(=O)NC(C(=O)[O-])C(C)C)n1c(=O)[nH]c2ccccc2c1=O
ZINC02131743	DUD_ace_D_415	CC(C)C(NC(=O)CCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02131937	DUD_ace_D_416	CSCCC(C(=O)NCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02132052	DUD_ace_D_417	CCCCC(C(=O)NC(C(=O)[O-])C(C)C)n1cnc2ccccc2c1=O
ZINC02132054	DUD_ace_D_418	CCCCC(C(=O)NC(C(=O)[O-])C(C)C)n1cnc2ccccc2c1=O
ZINC02132146	DUD_ace_D_419	CCC(C)C(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02132171	DUD_ace_D_420	CC(C)CC(NC(=O)C(C(C)C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02132907	DUD_ace_D_421	COc1ccc2[nH]cc(CCNC(=O)CCSS(=O)(=O)O)c2c1
ZINC02133009	DUD_ace_D_422	CC(C)CC(NC(=O)Cn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02133244	DUD_ace_D_423	CSCCC(C(=O)NCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02133304	DUD_ace_D_424	CC(NC(=O)CCCCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02133390	DUD_ace_D_425	CC(C)CC(NC(=O)Cn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02133434	DUD_ace_D_426	CSCCC(NC(=O)C(C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02133489	DUD_ace_D_427	CC(C)CC(C(=O)NC(C)C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02133534	DUD_ace_D_428	CC(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02133763	DUD_ace_D_429	C=CCC1N(C(C)c2ccccc2)C(=O)C2C(C(=O)[O-])C3C=CC12O3
ZINC02134382	DUD_ace_D_430	CSCCC(C(=O)NC(C)C(=O)[O-])n1cnc2ccccc2c1=O
ZINC02134742	DUD_ace_D_431	CC(C)C(C(=O)NCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02134744	DUD_ace_D_432	CC(C)CC(C(=O)NCCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02134794	DUD_ace_D_433	CCC(C)C(NC(=O)CCCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02134893	DUD_ace_D_434	CSCCC(C(=O)NCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02134989	DUD_ace_D_435	CC(C)C(C(=O)N1CCCC1C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02135136	DUD_ace_D_436	CC(C)CC(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02135145	DUD_ace_D_437	CC(C)C(NC(=O)Cn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02135227	DUD_ace_D_438	CCC(C)C(NC(=O)Cn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02135353	DUD_ace_D_439	CC(C(=O)NCCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02135639	DUD_ace_D_440	Cc1coc2cc3oc(=O)c(CCC(=O)N(C)CC(=O)[O-])c(C)c3cc12
ZINC02135682	DUD_ace_D_441	CSCCC(C(=O)NCCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02136226	DUD_ace_D_442	CCC(C)C(NC(=O)CCn1cnc2ccccc2c1=O)C(=O)[O-]
ZINC02136320	DUD_ace_D_443	CC(C(=O)NCCCC(=O)[O-])n1cnc2ccccc2c1=O
ZINC02136336	DUD_ace_D_444	CC(C)C(NC(=O)CCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02136438	DUD_ace_D_445	CSCCC(C(=O)NC(C(=O)[O-])C(C)C)n1c(=O)[nH]c2ccccc2c1=O
ZINC02136482	DUD_ace_D_446	CC(C)C(NC(=O)C(C(C)C)n1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02136588	DUD_ace_D_447	CCC(C)C(NC(=O)CCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02136641	DUD_ace_D_448	CC(C)CC(C(=O)NCC(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02136663	DUD_ace_D_449	CCC(C)C(C(=O)NC(C(=O)[O-])C(C)C)n1c(=O)[nH]c2ccccc2c1=O
ZINC02136711	DUD_ace_D_450	CC(C)CC(NC(=O)CCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02136823	DUD_ace_D_451	CCC(C)C(NC(=O)CCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)[O-]
ZINC02136901	DUD_ace_D_452	CC(C)CC(C(=O)NC(C)C(=O)[O-])n1c(=O)[nH]c2ccccc2c1=O
ZINC02137363	DUD_ace_D_453	CSCCC(NC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1)C(=O)[O-]
